MEASURE,C_RESID,NUTS,NACE_R2,TIME_PERIOD,TERRTYPO,OBS_VALUE,OBS_STATUS,CONF_STATUS,UNIT,UNIT_MULT
occ_ni,FOR,FR71,I551TOI553,2016,NCST_A,13986776,A,F,NR,
occ_ni,FOR,FR72,I551TOI553,2016,NCST_A,881626,A,F,NR,
occ_ni,FOR,FR8,I551TOI553,2016,NCST_A,9320301,A,F,NR,
occ_ni,FOR,FR81,I551TOI553,2016,NCST_A,3141937,A,F,NR,
occ_ni,FOR,FR82,I551TOI553,2016,NCST_A,6063630,A,F,NR,
occ_ni,FOR,FR83,I551TOI553,2016,NCST_A,114735,U,N,NR,
occ_ni,FOR,FRA1,I551TOI553,2016,NCST_A,0,A,F,NR,
occ_ni,FOR,FRA2,I551TOI553,2016,NCST_A,0,A,F,NR,
occ_ni,FOR,FRA5,I551TOI553,2016,NCST_A,0,A,F,NR,
occ_ni,FOR,FR,I551,2016,CST_A,11991767,A,F,NR,
occ_ni,FOR,FR,I551,2016,NCST_A,58253600,A,F,NR,
occ_ni,FOR,FR,I552,2016,CST_A,4558388,A,F,NR,
occ_ni,FOR,FR,I552,2016,NCST_A,13172005,A,F,NR,
occ_ni,FOR,FR,I553,2016,CST_A,17536189,A,F,NR,
occ_ni,FOR,FR,I553,2016,NCST_A,18401461,A,F,NR,
occ_ni,NAT,FR,I551TOI553,2017,CST_A,113305997,A,F,NR,
occ_ni,NAT,FR1,I551TOI553,2017,CST_A,0,A,F,NR,
occ_ni,NAT,FR10,I551TOI553,2017,CST_A,0,A,F,NR,
occ_ni,NAT,FRB,I551TOI553,2017,CST_A,0,A,F,NR,
occ_ni,NAT,FRB0,I551TOI553,2017,CST_A,0,A,F,NR,
occ_ni,NAT,FRC,I551TOI553,2017,CST_A,0,A,F,NR,
occ_ni,NAT,FRC1,I551TOI553,2017,CST_A,0,A,F,NR,
occ_ni,NAT,FRC2,I551TOI553,2017,CST_A,0,A,F,NR,
occ_ni,NAT,FRD,I551TOI553,2017,CST_A,6454368,A,F,NR,
occ_ni,NAT,FRD1,I551TOI553,2017,CST_A,5020312,A,F,NR,
occ_ni,NAT,FRD2,I551TOI553,2017,CST_A,1434055,A,F,NR,
occ_ni,NAT,FRE,I551TOI553,2017,CST_A,3318084,A,F,NR,
occ_ni,NAT,FRE1,I551TOI553,2017,CST_A,2193654,A,F,NR,
occ_ni,NAT,FRE2,I551TOI553,2017,CST_A,1124429,A,F,NR,
occ_ni,NAT,FRF,I551TOI553,2017,CST_A,0,A,F,NR,
occ_ni,NAT,FRF1,I551TOI553,2017,CST_A,0,A,F,NR,
occ_ni,NAT,FRF2,I551TOI553,2017,CST_A,0,A,F,NR,
occ_ni,NAT,FRF3,I551TOI553,2017,CST_A,0,A,F,NR,
occ_ni,NAT,FRG,I551TOI553,2017,CST_A,12081703,A,F,NR,
occ_ni,NAT,FRG0,I551TOI553,2017,CST_A,12081703,A,F,NR,
occ_ni,NAT,FRH,I551TOI553,2017,CST_A,16318173,A,F,NR,
occ_ni,NAT,FRH0,I551TOI553,2017,CST_A,16318173,A,F,NR,
